finalTimestamp,sentFromPipelineTimestamp,receivedTimestamp,percentage
1743074029964,1743074029961,1743074029957.0,
1743074030209,1743074030061,1743074029949.0,100
1743074030909,1743074030908,1743074030907.0,
1743074031005,1743074030963,1743074030905.0,99
1743074031901,1743074031900,1743074031900.0,
1743074031980,1743074031953,1743074031899.0,98
1743074032935,1743074032933,1743074032933.0,
1743074033011,1743074032980,1743074032933.0,97
1743074033919,1743074033917,1743074033916.0,
1743074033992,1743074033964,1743074033915.0,96
1743074034921,1743074034920,1743074034920.0,
1743074035010,1743074034979,1743074034919.0,95
1743074035923,1743074035921,1743074035921.0,
1743074035999,1743074035967,1743074035917.0,94
1743074036946,1743074036945,1743074036945.0,
1743074037035,1743074037001,1743074036945.0,93
1743074037961,1743074037959,1743074037959.0,
1743074038044,1743074038007,1743074037959.0,92
1743074038939,1743074038938,1743074038938.0,
1743074039016,1743074038990,1743074038937.0,91
1743074039965,1743074039963,1743074039963.0,
1743074040039,1743074040011,1743074039963.0,90
1743074040981,1743074040980,1743074040980.0,
1743074041063,1743074041034,1743074040979.0,89
1743074041984,1743074041982,1743074041981.0,
1743074042080,1743074042048,1743074041981.0,88
1743074042992,1743074042987,1743074042987.0,
1743074043080,1743074043045,1743074042986.0,87
1743074043998,1743074043993,1743074043992.0,
1743074044097,1743074044056,1743074043992.0,86
1743074044998,1743074044990,1743074044990.0,
1743074045076,1743074045041,1743074044990.0,85
1743074046010,1743074046001,1743074046000.0,
1743074046094,1743074046056,1743074046001.0,84
1743074047011,1743074047001,1743074047000.0,
1743074047102,1743074047060,1743074047001.0,83
1743074048017,1743074048006,1743074048006.0,
1743074048109,1743074048057,1743074048005.0,82
1743074049013,1743074049001,1743074049000.0,
1743074049092,1743074049055,1743074049000.0,81
1743074050035,1743074050015,1743074050015.0,
1743074050128,1743074050078,1743074050015.0,80
1743074051035,1743074051020,1743074051020.0,
1743074051118,1743074051069,1743074051020.0,79
1743074052026,1743074052009,1743074052009.0,
1743074052097,1743074052056,1743074052009.0,78
1743074053064,1743074053047,1743074053047.0,
1743074053152,1743074053095,1743074053047.0,77
1743074054059,1743074054042,1743074054042.0,
1743074054142,1743074054096,1743074054042.0,76
1743074055077,1743074055059,1743074055059.0,
1743074055154,1743074055108,1743074055058.0,75
1743074056067,1743074056048,1743074056048.0,
1743074056156,1743074056109,1743074056047.0,74
1743074057072,1743074057052,1743074057052.0,
1743074057158,1743074057113,1743074057052.0,73
1743074058076,1743074058056,1743074058056.0,
1743074058173,1743074058127,1743074058056.0,72
1743074059074,1743074059053,1743074059052.0,
1743074059144,1743074059100,1743074059052.0,71
1743074060086,1743074060064,1743074060064.0,
1743074060171,1743074060120,1743074060063.0,70
1743074061104,1743074061081,1743074061081.0,
1743074061182,1743074061130,1743074061081.0,69
1743074062117,1743074062094,1743074062094.0,
1743074062210,1743074062157,1743074062093.0,68
1743074063117,1743074063093,1743074063092.0,
1743074063206,1743074063149,1743074063092.0,67
1743074064133,1743074064110,1743074064110.0,
1743074064224,1743074064176,1743074064110.0,66
1743074065131,1743074065106,1743074065105.0,
1743074065217,1743074065157,1743074065105.0,65
1743074066142,1743074066117,1743074066117.0,
1743074066237,1743074066172,1743074066117.0,64
1743074067146,1743074067121,1743074067121.0,
1743074067236,1743074067174,1743074067121.0,63
1743074068156,1743074068119,1743074068119.0,
1743074068218,1743074068167,1743074068119.0,62
1743074069146,1743074069120,1743074069120.0,
1743074069230,1743074069175,1743074069119.0,61
1743074070165,1743074070139,1743074070138.0,
1743074070245,1743074070192,1743074070138.0,60
1743074071174,1743074071148,1743074071148.0,
1743074071259,1743074071203,1743074071147.0,59
1743074072178,1743074072152,1743074072152.0,
1743074072258,1743074072204,1743074072152.0,58
1743074073173,1743074073138,1743074073138.0,
1743074073271,1743074073207,1743074073138.0,57
1743074080119,1743074080086,1743074080085.0,
1743074080129,1743074080101,1743074080100.0,
1743074080134,1743074080108,1743074080108.0,
1743074080142,1743074080112,1743074080112.0,
1743074080146,1743074080120,1743074080120.0,
1743074080151,1743074080126,1743074080126.0,
1743074080184,1743074080135,1743074080087.0,56
1743074080186,1743074080135,1743074080100.0,55
1743074080187,1743074080136,1743074080108.0,54
1743074080205,1743074080179,1743074080179.0,
1743074080246,1743074080158,1743074080112.0,53
1743074080248,1743074080158,1743074080120.0,52
1743074080249,1743074080158,1743074080125.0,51
1743074080274,1743074080223,1743074080179.0,50
1743074081232,1743074081195,1743074081195.0,
1743074081294,1743074081244,1743074081194.0,49
1743074082218,1743074082193,1743074082193.0,
1743074082310,1743074082249,1743074082192.0,48
1743074083247,1743074083221,1743074083220.0,
1743074083342,1743074083282,1743074083221.0,47
1743074084248,1743074084224,1743074084224.0,
1743074084344,1743074084284,1743074084223.0,46
1743074085262,1743074085238,1743074085237.0,
1743074085362,1743074085306,1743074085238.0,45
1743074086258,1743074086235,1743074086234.0,
1743074086337,1743074086287,1743074086233.0,44
1743074087268,1743074087246,1743074087246.0,
1743074087350,1743074087296,1743074087245.0,43
1743074088269,1743074088248,1743074088247.0,
1743074088364,1743074088315,1743074088248.0,42
1743074089265,1743074089244,1743074089244.0,
1743074089368,1743074089307,1743074089243.0,41
1743074090296,1743074090276,1743074090276.0,
1743074090380,1743074090330,1743074090275.0,40
1743074091289,1743074091269,1743074091269.0,
1743074091367,1743074091315,1743074091268.0,39
