finalTimestamp,sentFromPipelineTimestamp,receivedTimestamp,percentage
1743013344673,1743009202102,1743013344491.0,100
1743013345490,1743009203040,1743013345452.0,99
1743013346502,1743009204055,1743013346460.0,98
1743013347498,1743009205049,1743013347456.0,97
1743013348505,1743009206044,1743013348446.0,96
1743013349517,1743009207061,1743013349467.0,95
1743013350506,1743009208057,1743013350465.0,94
1743013351533,1743009209081,1743013351490.0,93
1743013352511,1743009210060,1743013352471.0,92
1743013353527,1743009211080,1743013353485.0,91
1743013354532,1743009212086,1743013354495.0,90
1743013355555,1743009213102,1743013355506.0,89
1743013356536,1743009214091,1743013356501.0,88
1743013357550,1743009215104,1743013357517.0,87
1743013358552,1743009216096,1743013358506.0,86
1743013359590,1743009217137,1743013359538.0,85
1743013360592,1743009218140,1743013360550.0,84
1743013361616,1743009219164,1743013361565.0,83
1743013362590,1743009220139,1743013362548.0,82
1743013363624,1743009221168,1743013363575.0,81
1743013364601,1743009222153,1743013364547.0,80
1743013365605,1743009223157,1743013365567.0,79
1743013366620,1743009224171,1743013366578.0,78
1743013367628,1743009225175,1743013367585.0,77
1743013368660,1743009226198,1743013368600.0,76
1743013369665,1743009227211,1743013369608.0,75
1743013370680,1743009228230,1743013370616.0,74
1743013371648,1743009229198,1743013371600.0,73
1743013372662,1743009230211,1743013372616.0,72
1743013373672,1743009231222,1743013373628.0,71
1743013374685,1743009232233,1743013374642.0,70
1743013375688,1743009233236,1743013375642.0,69
1743013376681,1743009234235,1743013376649.0,68
1743013377683,1743009235236,1743013377645.0,67
1743013378708,1743009236258,1743013378666.0,66
1743013379730,1743009237274,1743013379680.0,65
1743013380702,1743009238253,1743013380666.0,64
1743013381738,1743009239284,1743013381691.0,63
1743013382748,1743009240293,1743013382699.0,62
1743013383731,1743009241283,1743013383692.0,61
1743013384791,1743009242335,1743013384741.0,60
1743013385768,1743009243309,1743013385720.0,59
1743013386722,1743009244278,1743013386694.0,58
1743013387761,1743009245305,1743013387715.0,57
1743013388775,1743009246317,1743013388725.0,56
1743013389777,1743009247321,1743013389724.0,55
1743013390800,1743009248353,1743013390746.0,54
1743013391795,1743009249339,1743013391742.0,53
1743013392818,1743009250366,1743013392770.0,52
1743013393809,1743009251354,1743013393757.0,51
1743013394816,1743009252371,1743013394772.0,50
1743013395826,1743009253376,1743013395773.0,49
1743013396820,1743009254368,1743013396776.0,48
1743013397823,1743009255372,1743013397779.0,47
1743013398841,1743009256388,1743013398796.0,46
